type,lat,lon,tags,lighting_level,police_near,cctv_count,crime_reports,safety_score,street_name,area_name
police,12.9733449,77.5414869,"{'amenity': 'police', 'name': 'Vijaynagar Traffic Police Station', 'name:kn': 'ವಿಜಯನಗರ ಸಂಚಾರ ಪೊಲೀಸ್ ಠಾಣೆ'}",5,1,0,4,0.56,Sha Shi Marulayya Road,Bengaluru
police,12.9707264,77.5377251,"{'amenity': 'police', 'designation': 'Vijayangar Police Station', 'name': 'Vijayanagar Police Station', 'name:kn': 'ವಿಜಯನಗರ ಆರಕ್ಷಕ ಠಾಣೆ'}",5,1,0,2,0.68,Sha Shi Marulayya Road,Bengaluru
police,12.9604765,77.5643202,"{'amenity': 'police', 'name': 'Chamarajapet Police Station', 'name:kn': 'ಆರಕ್ಷಕ ಠಾಣೆ', 'wheelchair': 'limited'}",5,1,0,4,0.56,Aluri Venkata Rao Road,Bengaluru
police,12.9538729,77.570101,"{'addr:street': 'Shankar Matt Road', 'amenity': 'police', 'name': 'Shankarapuram Police Station', 'name:kn': 'ಆರಕ್ಷಕ ಠಾಣೆ', 'wheelchair': 'no'}",5,1,0,3,0.62,Shankar Matt Road,Bengaluru
police,13.0360107,77.5211853,"{'amenity': 'police', 'name': 'Peenya Police Station', 'name:kn': 'ಪೀಣ್ಯ ಆರಕ್ಷಕ ಠಾಣೆ'}",5,1,0,0,0.8,Police Station Road,Bengaluru
police,12.9680925,77.5700945,"{'amenity': 'police', 'name': 'Cottenpet Police Station', 'wheelchair': 'no'}",5,1,0,2,0.68,Belli Mutt Road,Bengaluru
police,12.9292268,77.5678506,"{'amenity': 'police', 'name': ""Women's Police Station"", 'name:kn': 'ಮಹಿಳಾ ಪೊಲೀಸ್ ಠಾಣೆ'}",5,1,0,0,0.8,Karantha Road,Women's Police Station
police,12.929436,77.5678479,"{'amenity': 'police', 'name': 'Thyagaraja Nagar Police Station', 'name:kn': 'ತ್ಯಾಗರಾಜನಗರ ಆರಕ್ಷಕ ಠಾಣೆ'}",5,1,0,0,0.8,Karantha Road,Thyagaraja Nagar Police Station
police,12.9235553,77.5533335,"{'amenity': 'police', 'name': 'BSK 3rd stage Police Station', 'wheelchair': 'no'}",5,1,0,0,0.8,Outer Ring Road,BSK 3rd stage Police Station
police,12.9744861,77.5512501,"{'amenity': 'police', 'name': 'Magadi Road Police Station', 'old_name': 'Rajajinagar Traffic Police Station', 'wheelchair': 'no'}",5,1,0,1,0.74,Magadi Road,Bengaluru
police,12.9649402,77.5761878,"{'addr:street': 'Sultan Road', 'alt_name': 'City Market Police Station', 'amenity': 'police', 'name': 'Krishna Rajendra Market Police Station'}",5,1,0,0,0.8,Sultan Road,Bengaluru
police,12.9707012,77.5736393,"{'amenity': 'police', 'name': 'Chikkapete Police Station', 'name:kn': 'ಚಿಕ್ಕಪೇಟೆ ಆರಕ್ಷಕ ಠಾಣೆ'}",5,1,0,4,0.56,,Bengaluru
police,13.0124684,77.5368288,"{'amenity': 'police', 'name': 'Nandini Layout Police Station', 'name:kn': 'ನಂದಿನಿ ಲೇಔಟ್ ಪೋಲಿಸ್ ಠಾಣೆ'}",5,1,0,2,0.68,Nandhini Layout Main Road,Bengaluru
police,12.9229116,77.5650055,"{'amenity': 'police', 'name': 'Banashankari Police Station', 'name:kn': 'ಬನಶಂಕರಿ ಆರಕ್ಷಕ ಠಾಣೆ'}",5,1,0,2,0.68,27th Cross Road,Banashankari Police Station
police,13.0237703,77.6457711,"{'addr:city': 'Babusabpalya, Hennur', 'addr:street': 'Outer Ring Road', 'amenity': 'police', 'check_date': '2024-07-05', 'name': 'Hennur Police Station', 'name:kn': 'ಹೆಣ್ಣೂರು ಆರಕ್ಷಕ ಠಾಣೆ'}",5,1,0,3,0.62,Outer Ring Road,"Babusabpalya, Hennur"
police,12.9632542,77.5920638,"{'addr:city': 'Bangalore', 'addr:housenumber': '16', 'addr:postcode': '560027', 'addr:street': 'Mission Road (Kalinga Rao Road)', 'amenity': 'police', 'name': 'Sampangi Rama Nagar Police Station', 'name:bn': 'সম্পাঙ্গী রাম নগর থানা'}",5,1,0,1,0.74,Mission Road (Kalinga Rao Road),Bangalore
surveillance,13.0040647,77.6192601,"{'camera:direction': 'W', 'camera:mount': 'wall', 'camera:type': 'fixed', 'man_made': 'surveillance', 'name': 'Shalom Apt Gate Camera 1', 'surveillance': 'outdoor', 'surveillance:type': 'camera', 'surveillance:zone': 'town'}",5,0,1,4,0.26,Davis Road,Bangalore
police,12.978243,77.6404269,"{'amenity': 'police', 'check_date': '2025-08-15', 'name': 'Indiranagar Traffic Police Station'}",5,1,0,4,0.56,Chinmaya Mission Hospital Road,Bengaluru
police,12.9691307,77.6168652,"{'amenity': 'police', 'name': 'Karnataka State Reserve Police'}",5,1,0,0,0.8,Richmond Road,Bengaluru
surveillance,12.9670078,77.6355011,"{'camera:mount': 'building', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera', 'surveillance:zone': 'street'}",5,0,1,0,0.5,4th Main Road,Bengaluru
street_lamp,13.0292887,77.5633056,{'highway': 'street_lamp'},10,0,0,2,0.58,NIAS Road,Bengaluru
street_lamp,13.0292881,77.5633277,{'highway': 'street_lamp'},10,0,0,4,0.46,NIAS Road,Bengaluru
street_lamp,12.9795642,77.6361628,{'highway': 'street_lamp'},10,0,0,4,0.46,,Bengaluru
street_lamp,12.9795819,77.6360723,{'highway': 'street_lamp'},10,0,0,1,0.64,,Bengaluru
street_lamp,12.9795966,77.6359909,{'highway': 'street_lamp'},10,0,0,2,0.58,,Bengaluru
street_lamp,12.9796118,77.6359027,{'highway': 'street_lamp'},10,0,0,2,0.58,,Bengaluru
street_lamp,12.9796362,77.6357781,{'highway': 'street_lamp'},10,0,0,0,0.7,15th Cross Road,Bengaluru
street_lamp,12.9796924,77.6356906,{'highway': 'street_lamp'},10,0,0,1,0.64,15th Cross Road,Bengaluru
street_lamp,12.9797793,77.6357086,{'highway': 'street_lamp'},10,0,0,3,0.52,15th Cross Road,Bengaluru
street_lamp,12.9798811,77.6357309,{'highway': 'street_lamp'},10,0,0,2,0.58,15th Cross Road,Bengaluru
street_lamp,12.979965,77.6357449,{'highway': 'street_lamp'},10,0,0,1,0.64,15th Cross Road,Bengaluru
street_lamp,12.9800527,77.6357614,{'highway': 'street_lamp'},10,0,0,3,0.52,,Bengaluru
street_lamp,12.9801188,77.635772,{'highway': 'street_lamp'},10,0,0,2,0.58,5th Main Road,Bengaluru
street_lamp,13.0003952,77.6240987,{'highway': 'street_lamp'},10,0,0,3,0.52,High Street,bangalore
street_lamp,13.0003547,77.6238842,{'highway': 'street_lamp'},10,0,0,0,0.7,High Street,Bengaluru
street_lamp,13.000844,77.6238761,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,0,0.7,High Street,Bangalore
street_lamp,13.0009786,77.6239244,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,3,0.52,Wheeler Road Extension,Bangalore
street_lamp,13.0009185,77.6239029,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,2,0.58,High Street,Bangalore
street_lamp,13.000765,77.6238466,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,4,0.46,High Street,Bangalore
street_lamp,13.0010126,77.6239378,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,1,0.64,Wheeler Road Extension,Bangalore
street_lamp,13.0011197,77.6239749,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,0,0.7,Wheeler Road Extension,Bangalore
street_lamp,13.0010699,77.6239553,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,1,0.64,Wheeler Road Extension,Bangalore
street_lamp,13.0007382,77.6239298,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '195', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,3,0.52,High Street,Bangalore
street_lamp,13.0009275,77.6240434,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,2,0.58,,Bengaluru
street_lamp,13.0009682,77.6240458,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '200', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,4,0.46,,Bengaluru
street_lamp,13.0007336,77.6239532,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '195', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,3,0.52,,Bengaluru
street_lamp,13.0006751,77.6241219,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,0,0.7,High Street,Bengaluru
street_lamp,13.0007009,77.6240438,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '195', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,3,0.52,,Bengaluru
street_lamp,13.0008362,77.6239827,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'straight_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:shape': 'cylindrical', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,0,0.7,,Bengaluru
street_lamp,13.000778,77.6238801,"{'height': '10', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '50', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,4,0.46,High Street,Bangalore
street_lamp,13.0008407,77.6240194,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'straight_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:shape': 'cylindrical', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,3,0.52,,Bengaluru
street_lamp,13.0008695,77.6240464,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '290', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,2,0.58,,Bengaluru
street_lamp,13.0009497,77.6240702,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'straight_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:shape': 'cylindrical', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,4,0.46,,Bengaluru
street_lamp,13.001122,77.6241215,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '20', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,3,0.52,Milton Street,Bengaluru
street_lamp,13.0011181,77.6241336,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '20', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,0,0.7,Milton Street,Bengaluru
street_lamp,13.0011011,77.6241135,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,3,0.52,Milton Street,Bengaluru
street_lamp,13.001027,77.6240834,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,3,0.52,,Bengaluru
street_lamp,13.0009747,77.6240843,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,0,0.7,,Bengaluru
street_lamp,13.0010551,77.6241148,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '110', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,2,0.58,Milton Street,Bengaluru
street_lamp,13.0010708,77.6242795,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '20', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,3,0.52,Milton Street,Bangalore
street_lamp,13.0010959,77.6242027,"{'height': '5', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '20', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,2,0.58,Milton Street,Bengaluru
street_lamp,13.0010514,77.6242412,"{'height': '10', 'highway': 'street_lamp', 'lamp_mount': 'bent_mast', 'lamp_type': 'led', 'light:colour': 'white', 'light:direction': '230', 'light:tilt': '-90', 'material': 'metal', 'support': 'pole'}",10,0,0,4,0.46,Milton Street,Bangalore
surveillance,13.0192437,77.564784,{'man_made': 'surveillance'},5,0,1,2,0.38,,Bengaluru
surveillance,13.0164591,77.5630553,{'man_made': 'surveillance'},5,0,1,2,0.38,Mandhara Marg,Bengaluru
surveillance,13.016811,77.5629092,{'man_made': 'surveillance'},5,0,1,1,0.44,Mandhara Marg,Bengaluru
surveillance,13.0275594,77.5713775,{'man_made': 'surveillance'},5,0,1,0,0.5,New BEL Road,Bengaluru
surveillance,13.0126128,77.5689946,{'man_made': 'surveillance'},5,0,1,2,0.38,CV Raman Road,Bengaluru
police,12.9773726,77.5884362,"{'amenity': 'police', 'level': '-1', 'name': 'Vidhana Soudha Police Station', 'name:kn': 'ವಿಧಾನ ಸೌಧ ಆರಕ್ಷಕ ಠಾಣೆ'}",5,1,0,0,0.8,Devaraj Urs Road,Bengaluru
street_lamp,12.9802683,77.6378795,"{'highway': 'street_lamp', 'lamp_type': 'sodium_vapor', 'support': 'pole', 'visible': 'visible'}",10,0,0,0,0.7,,Bengaluru
street_lamp,12.9803475,77.6375668,{'highway': 'street_lamp'},10,0,0,1,0.64,,Bengaluru
street_lamp,12.9803806,77.6374561,{'highway': 'street_lamp'},10,0,0,2,0.58,4th Main Road,Bengaluru
street_lamp,12.9799741,77.6379016,"{'highway': 'street_lamp', 'lamp_type': 'sodium_vapor', 'support': 'pole', 'visibility': 'clear'}",10,0,0,3,0.52,12th Cross,Bengaluru
street_lamp,12.9800726,77.6374645,"{'highway': 'street_lamp', 'lamp_type': 'sodium_vapor', 'support': 'pole', 'visibility': 'clear'}",10,0,0,1,0.64,5th Main Road,Bengaluru
street_lamp,12.9788328,77.636906,{'highway': 'street_lamp'},10,0,0,2,0.58,Indiranagar Double Road,Bengaluru
street_lamp,12.9788408,77.6372482,"{'highway': 'street_lamp', 'lamp_type': 'sodium_vapor', 'support': 'pole', 'visibility': 'clear'}",10,0,0,0,0.7,12th A Cross,Bengaluru
street_lamp,12.9789319,77.6367529,{'highway': 'street_lamp'},10,0,0,2,0.58,Double Road,Bengaluru
street_lamp,12.9791017,77.6369349,{'highway': 'street_lamp'},10,0,0,2,0.58,Double Road,Bengaluru
street_lamp,12.9791116,77.6367858,{'highway': 'street_lamp'},10,0,0,4,0.46,Double Road,Bengaluru
street_lamp,12.9792962,77.6369652,{'highway': 'street_lamp'},10,0,0,3,0.52,12th A Cross,Bengaluru
street_lamp,12.9793012,77.6368287,{'highway': 'street_lamp'},10,0,0,0,0.7,Double Road,Bengaluru
street_lamp,12.9794341,77.6368565,{'highway': 'street_lamp'},10,0,0,2,0.58,Indiranagar Double Road,Bengaluru
street_lamp,12.979439,77.6369879,{'highway': 'street_lamp'},10,0,0,1,0.64,Indiranagar Double Road,Bengaluru
street_lamp,12.979796,77.6369323,{'highway': 'street_lamp'},10,0,0,1,0.64,Indiranagar Double Road,Bengaluru
street_lamp,12.9799807,77.6371067,{'highway': 'street_lamp'},10,0,0,2,0.58,"5th main, Paramahansa Yogananda Rd, Stage 1, Indiranagar",Bengaluru
street_lamp,12.9800127,77.6369652,{'highway': 'street_lamp'},10,0,0,0,0.7,5th Main Road,Bengaluru
street_lamp,12.9805079,77.6378856,"{'highway': 'street_lamp', 'lamp_type': 'sodium_vapor', 'support': 'pole', 'visibility': 'visible'}",10,0,0,2,0.58,12th Cross,Bengaluru
street_lamp,12.9807768,77.6378746,"{'highway': 'street_lamp', 'lamp_type': 'sodium_vapor', 'support': 'pole', 'visible': 'visible'}",10,0,0,3,0.52,12th Cross,Bengaluru
street_lamp,12.9809967,77.6378681,"{'highway': 'street_lamp', 'lamp_type': 'sodium_vapor', 'support': 'pole', 'visibility': 'visible'}",10,0,0,1,0.64,12th Cross,Bengaluru
street_lamp,12.9812283,77.6378609,{'highway': 'street_lamp'},10,0,0,4,0.46,12th Cross,Bengaluru
street_lamp,12.9816701,77.6378347,{'highway': 'street_lamp'},10,0,0,3,0.52,12th Cross,Bengaluru
street_lamp,12.9819807,77.6378139,"{'highway': 'street_lamp', 'lamp_type': 'sodium_vapor', 'support': 'pole', 'visibility': 'obstructed'}",10,0,0,1,0.64,,Bengaluru
street_lamp,12.982224,77.6378073,{'highway': 'street_lamp'},10,0,0,3,0.52,12th Cross Road,Bengaluru
street_lamp,12.9786375,77.6354564,{'highway': 'street_lamp'},10,0,0,3,0.52,7th Main,Bengaluru
street_lamp,12.9786472,77.6356847,{'highway': 'street_lamp'},10,0,0,0,0.7,7th Main,Bengaluru
street_lamp,12.9786569,77.635958,{'highway': 'street_lamp'},10,0,0,3,0.52,7th Main,Bengaluru
street_lamp,12.97868,77.6348737,{'highway': 'street_lamp'},10,0,0,4,0.46,16th Cross,Bengaluru
street_lamp,12.9787127,77.6351728,{'highway': 'street_lamp'},10,0,0,1,0.64,15th Cross,Bengaluru
street_lamp,12.9787214,77.63541,{'highway': 'street_lamp'},10,0,0,2,0.58,15th Cross,Bengaluru
street_lamp,12.9789319,77.6354302,{'highway': 'street_lamp'},10,0,0,3,0.52,15th Cross Road,Bengaluru
street_lamp,12.9791198,77.6354681,{'highway': 'street_lamp'},10,0,0,4,0.46,15th Cross Road,Bengaluru
street_lamp,12.9795469,77.6355531,{'highway': 'street_lamp'},10,0,0,3,0.52,15th Cross Road,Bengaluru
street_lamp,12.9797401,77.6355831,{'highway': 'street_lamp'},10,0,0,0,0.7,"15th Cross Road, 2nd Stage, Indira Nagar II Stage, Hoysala Nagar, Indiranagar",Bengaluru
street_lamp,12.9799464,77.6356297,{'highway': 'street_lamp'},10,0,0,1,0.64,,Bengaluru
street_lamp,12.9801692,77.6365107,{'highway': 'street_lamp'},10,0,0,4,0.46,5th Main Road,Bangalore
street_lamp,12.98025,77.635693,{'highway': 'street_lamp'},10,0,0,2,0.58,,Bengaluru
street_lamp,12.9802918,77.6364268,{'highway': 'street_lamp'},10,0,0,2,0.58,13th Cross,Bangalore
street_lamp,12.9803245,77.6362253,{'highway': 'street_lamp'},10,0,0,2,0.58,"5th main, 13th Cross",Bengaluru
street_lamp,12.9803665,77.6359671,{'highway': 'street_lamp'},10,0,0,4,0.46,"5th main, 13th Cross",Bengaluru
street_lamp,12.9804053,77.6357304,{'highway': 'street_lamp'},10,0,0,4,0.46,,Bengaluru
street_lamp,12.9786536,77.6366898,"{'highway': 'street_lamp', 'lamp_type': 'sodium_vapor', 'support': 'pole', 'visibility': 'clear'}",10,0,0,2,0.58,Indiranagar Double Road,Bengaluru
street_lamp,12.9802011,77.6369805,{'highway': 'street_lamp'},10,0,0,3,0.52,,Bengaluru
street_lamp,12.9802367,77.6367656,{'highway': 'street_lamp'},10,0,0,2,0.58,5th Main Road,Bengaluru
street_lamp,12.9786987,77.6393601,{'highway': 'street_lamp'},10,0,0,2,0.58,9th Cross Road,Bengaluru
street_lamp,12.9790247,77.6393396,{'highway': 'street_lamp'},10,0,0,4,0.46,9th Cross Road,Bengaluru
street_lamp,12.9792166,77.6393535,{'highway': 'street_lamp'},10,0,0,0,0.7,9th Cross Road,Bengaluru
street_lamp,12.979422,77.6393535,{'highway': 'street_lamp'},10,0,0,0,0.7,9th Cross Road,Bengaluru
street_lamp,12.9796385,77.6393291,{'highway': 'street_lamp'},10,0,0,3,0.52,9th Cross Road,Bengaluru
street_lamp,12.9797525,77.6393158,{'highway': 'street_lamp'},10,0,0,4,0.46,9th Cross Road,Bengaluru
street_lamp,12.9822699,77.6382607,"{'highway': 'street_lamp', 'lamp_type': 'sodium_vapor', 'support': 'pole', 'visibility': 'partially_obstructed'}",10,0,0,4,0.46,11th Cross Road,Bengaluru
street_lamp,12.9785829,77.6361756,{'highway': 'street_lamp'},10,0,0,2,0.58,13th Cross Road,Bengaluru
street_lamp,12.9789703,77.6362565,{'highway': 'street_lamp'},10,0,0,1,0.64,13th Cross Road,Bengaluru
street_lamp,12.9796378,77.6363856,{'highway': 'street_lamp'},10,0,0,2,0.58,13th cross,Bengaluru
